@relation previsao_desistencia

@attribute idade numeric
@attribute nota_média numeric
@attribute taxa_presença numeric
@attribute reprovações numeric
@attribute matriculado {sim, não}

@data
23,81,86,3,sim
44,80,81,7,não
22,87,88,3,sim
24,84,84,4,não
54,84,84,2,sim
47,86,86,2,sim
24,89,90,1,sim
34,86,89,1,não
24,74,78,7,não
24,70,75,2,não
34,74,78,1,não
55,83,84,3,sim
42,70,75,9,não
18,71,75,4,não
60,97,96,1,sim
56,84,88,0,sim
39,90,89,2,sim
38,89,91,0,não
45,85,89,0,não
56,78,80,4,sim
18,81,86,0,não
50,73,75,2,não
25,76,81,2,não
18,94,94,2,sim
20,81,83,6,sim
35,89,92,0,sim
20,90,93,0,sim
18,73,77,9,não
43,84,85,2,sim
48,86,86,0,sim
18,80,84,4,não
21,94,93,1,sim
58,94,96,0,sim
21,86,87,4,sim
29,79,82,2,sim
18,85,88,2,sim
22,79,82,2,sim
22,88,89,2,sim
22,84,87,3,sim
32,80,84,0,sim
55,77,81,5,não
59,71,75,4,não
43,76,80,8,não
52,74,77,3,sim
34,75,81,1,não
39,72,75,0,não
18,81,86,5,não
22,82,83,5,sim
23,82,85,5,não
22,78,83,3,não
52,72,77,8,não
57,83,87,2,não
21,90,90,1,sim
24,71,75,1,não
21,75,78,5,não
37,72,75,7,não
22,85,88,4,sim
20,75,79,7,não
25,90,92,0,sim
39,77,79,1,não
18,71,77,3,não
37,81,84,4,não
52,77,82,0,sim
25,71,75,5,sim
45,97,99,0,sim
19,71,75,0,não
19,77,78,2,sim
19,72,76,4,não
23,80,82,3,sim
19,89,92,1,sim
20,73,78,5,não
30,73,75,5,não
49,77,82,2,sim
19,95,97,0,sim
25,90,89,2,sim
22,78,82,3,não
24,79,80,4,sim
18,73,76,5,não
35,86,89,4,sim
36,75,77,5,não
40,76,79,2,não
52,79,83,2,sim
29,99,97,0,sim
19,89,88,0,sim
23,81,85,2,não
58,74,78,7,não
30,87,91,2,sim
23,70,77,4,não
22,74,78,5,não
57,70,76,9,não
29,87,91,1,sim
37,75,79,5,não
29,89,90,0,sim
20,77,79,5,sim
44,82,84,6,não
21,78,80,0,sim
20,75,80,5,não
24,81,83,2,não
19,87,89,4,não
25,95,93,0,sim
24,83,85,0,sim
23,94,93,0,sim
44,88,92,1,sim
19,75,80,2,sim
18,73,76,2,sim
24,100,100,0,sim
45,88,89,3,sim
22,95,97,1,sim
25,84,86,5,não
33,94,94,0,sim
18,79,82,7,não
24,75,80,1,não
41,87,90,4,sim
22,83,83,6,não
35,99,98,0,sim
25,73,76,8,não
20,75,77,8,não
53,79,81,7,não
53,72,76,3,não
25,76,80,5,não
54,85,85,5,sim
22,93,94,2,sim
19,73,78,3,não
21,89,91,3,sim
24,70,75,8,não
43,79,82,7,não
53,78,81,5,não
24,71,75,3,sim
21,80,84,3,não
57,81,84,6,sim
45,76,78,0,não
21,75,80,5,não
49,92,95,2,sim
20,80,85,2,sim
23,98,97,0,sim
52,87,89,0,não
31,81,84,4,sim
57,80,81,3,não
33,91,91,2,sim
19,89,92,3,sim
21,90,90,1,sim
24,81,85,3,não
20,94,95,0,sim
36,81,82,3,sim
20,72,75,6,não
36,87,88,0,sim
55,80,84,4,sim
22,75,81,0,não
34,78,80,6,sim
19,83,83,5,não
42,88,90,2,não
50,73,77,9,não
24,86,87,2,sim
20,85,86,5,não
18,80,81,3,sim
23,86,89,0,sim
56,90,89,0,sim
24,71,75,0,sim
20,81,84,6,sim
46,76,81,3,não
25,90,93,0,sim
25,89,92,2,sim
18,87,87,4,não
18,82,83,5,não
41,71,76,0,não
21,79,83,0,não
18,86,87,1,sim
32,73,77,4,não
28,87,90,0,sim
49,72,75,4,não
21,74,80,7,não
25,79,82,0,não
31,78,81,2,não
43,90,90,2,sim
19,92,94,1,sim
21,70,75,2,não
20,77,82,2,não
40,76,81,7,sim
25,81,86,3,sim
55,84,88,2,sim
32,91,93,0,sim
20,86,88,3,não
54,80,83,0,sim
18,77,78,3,não
46,91,94,1,não
56,79,82,4,não
25,75,79,8,sim
21,77,78,3,não
19,75,79,4,não
48,70,75,4,não
20,74,80,6,não
35,74,80,1,não
52,88,89,1,não
43,82,85,4,não
21,78,83,0,sim
31,90,91,0,não
23,74,78,0,não
29,85,89,4,não
36,73,79,3,não
48,90,93,0,não
